teff logg z mg ca
5392 4.52 -0.589 0.539 0.553
5588 4.34 -0.434 0.536 0.478
5999 4.72 0.259 0.131 0.133
5313 5.0 0.076 -0.175 0.623
5481 4.32 0.348 0.731 0.647
5247 4.77 -0.843 0.346 0.341
5004 4.86 -0.491 0.557 -0.124
5706 4.76 -0.015 0.041 -0.18
5258 4.22 -0.378 0.765 0.3
5967 4.33 -0.873 0.441 0.711
5401 4.16 -0.444 0.635 -0.018
5994 4.49 -0.41 0.045 -0.091
5009 4.36 -0.63 -0.102 0.27
5407 4.04 -0.612 0.656 0.663
5127 4.14 -0.35 0.182 0.075
5422 4.14 -0.995 0.592 0.169
5419 4.46 0.097 0.592 0.673
5964 4.22 0.392 0.378 0.45
5601 4.57 -0.246 0.293 0.514
5256 4.92 0.045 0.64 0.352
5712 4.37 -0.659 -0.13 0.507
5572 4.76 -0.508 0.185 0.794
5288 4.34 -0.701 0.733 0.57
5440 4.7 -0.569 0.407 0.414
5739 4.64 -0.546 -0.099 0.55
5073 4.71 0.446 0.295 0.079
5953 4.01 -0.689 0.037 0.416
5199 4.51 -0.775 0.237 0.456
5628 4.44 0.433 0.791 0.425
5233 4.12 0.469 -0.173 0.161
5357 4.65 -0.381 -0.089 -0.196
5865 4.04 -0.891 0.262 0.681
5333 4.0 -0.177 -0.057 0.476
5296 4.71 -0.412 0.628 -0.062
5262 4.66 0.06 -0.004 -0.171
5302 4.84 0.342 0.575 0.718
5029 4.22 -0.289 -0.095 0.088
5569 4.54 0.165 0.323 0.535
5329 4.25 0.006 0.543 0.651
5199 4.09 -0.671 0.181 0.453
5958 4.33 -0.894 0.409 0.658
5759 4.6 0.492 0.084 0.567
5803 4.84 -0.552 0.453 -0.009
5243 4.09 -0.073 0.028 0.148
5938 4.69 -0.506 0.262 0.204
5260 4.26 -0.828 0.156 0.318
5447 4.86 0.395 0.321 0.372
5490 4.24 -0.998 0.344 -0.18
5427 4.79 -0.978 0.575 -0.023
5246 4.39 -0.106 -0.003 -0.038
5984 4.43 -0.468 0.448 0.236
5796 4.73 -0.787 0.767 0.565
5146 4.51 0.457 0.58 0.628
5666 4.13 -0.969 0.137 0.445
5589 4.01 -0.712 0.176 0.461
5803 4.32 -0.468 0.717 -0.007
5430 4.6 -0.214 0.178 0.246
5744 4.82 -0.057 0.126 0.615
5788 4.05 -0.081 0.542 -0.198
5625 4.79 -0.79 -0.127 0.182
5537 4.68 0.216 0.587 0.726
5942 4.57 0.493 0.398 -0.076
5554 4.05 -0.114 0.045 0.713
5759 4.17 -0.943 -0.115 -0.07
5140 4.17 0.251 0.046 0.494
5659 4.13 -0.214 0.046 -0.043
5690 4.47 -0.7 0.338 0.782
5233 4.97 -0.671 0.628 0.413
5510 4.23 -0.429 0.598 0.222
5373 4.02 -0.241 0.23 -0.034
5150 4.93 -0.398 0.131 0.295
5416 4.1 -0.843 0.495 0.505
5315 4.6 0.398 0.62 0.423
5926 4.39 -0.936 0.623 -0.055
5508 4.98 -0.223 0.723 0.531
5030 4.28 0.248 -0.158 0.526
5223 4.82 -0.181 0.137 0.639
5247 4.98 0.429 0.078 0.074
5628 4.7 -0.159 0.5 -0.105
5000 4.86 -0.621 0.698 0.306
5121 4.07 -0.234 0.531 -0.065
5909 4.16 -0.759 0.71 0.449
5533 4.99 -0.811 -0.086 -0.134
5367 4.15 0.075 0.796 -0.078
5234 4.04 -0.297 0.713 0.732
5472 4.81 0.003 0.69 0.519
5691 4.2 0.219 0.666 0.175
5993 4.27 -0.109 0.583 0.667
5600 4.13 0.067 -0.149 0.317
5344 4.15 -0.779 0.693 0.301
5653 4.63 -0.469 -0.176 0.188
5796 4.08 -0.322 0.526 -0.006
5199 4.47 -0.711 0.311 -0.145
5227 4.87 -0.12 0.343 0.52
5745 4.77 -0.67 0.75 -0.18
5501 4.36 -0.877 0.161 -0.061
5936 4.74 -0.144 0.514 0.065
5694 4.53 -0.486 0.232 0.532
5659 4.14 0.435 0.18 0.201
5324 4.46 -0.576 0.009 0.461
5653 4.53 -0.82 0.651 0.017
5266 4.36 -0.516 0.421 0.296
5570 4.64 -0.019 0.703 0.278
5389 4.09 -0.979 0.585 0.776
5227 4.76 -0.707 0.11 0.324
5859 4.54 -0.921 0.269 -0.075
5736 4.18 0.398 0.447 0.195
5856 4.07 0.196 0.035 0.229
5266 4.95 -0.112 0.532 -0.068
5878 4.12 -0.994 0.478 0.652
5146 4.91 -0.687 -0.167 0.412
5404 4.66 -0.331 0.566 0.084
5918 4.46 -0.96 0.5 0.362
5566 4.69 0.178 -0.148 0.399
5383 4.28 -0.576 0.752 0.387
5621 4.82 -0.267 0.278 -0.145
5844 4.3 0.143 0.753 0.691
5510 4.58 -0.312 0.161 0.331
5305 4.18 0.359 0.614 -0.048
5046 4.23 -0.088 0.621 0.676
5688 4.66 0.201 0.663 0.689
5373 4.54 -0.382 0.333 0.558
5424 4.66 -0.495 -0.002 0.625
5556 4.39 -0.234 -0.09 0.018
5449 4.19 0.317 0.791 0.027
5397 4.17 -0.365 0.406 0.78
5763 4.87 -0.808 0.165 0.768
5143 4.45 -0.614 0.038 -0.117
5797 4.53 -0.979 0.186 0.364
5642 4.43 -0.903 0.35 0.693
5027 4.93 0.098 -0.189 0.774
5727 4.66 -0.549 -0.062 0.31
5201 4.25 -0.836 0.651 0.485
5248 4.4 0.355 -0.011 0.631
5096 4.23 0.201 -0.046 0.696
5919 4.01 0.213 -0.085 0.121
5149 4.56 0.465 0.542 -0.137
5996 4.33 -0.113 0.222 0.451
5632 4.6 0.464 0.321 0.696
5257 4.65 -0.264 0.612 0.721
5491 4.14 -0.99 0.487 -0.027
5248 4.75 0.41 0.69 0.163
5840 4.7 -0.692 0.56 -0.129
5012 4.73 -0.532 0.717 -0.127
5310 4.15 -0.704 -0.042 -0.174
5348 4.21 -0.294 0.296 0.364
5094 4.66 -0.383 0.481 0.044
5455 4.16 -0.914 -0.197 0.605
5209 4.47 -0.235 -0.143 0.375
5654 4.5 -0.024 0.686 0.523
5875 4.3 -0.496 0.078 0.063
5557 4.5 -0.733 0.312 -0.127
5120 4.89 -0.73 0.095 0.558
5165 4.16 -0.761 0.16 0.537
5569 4.38 -0.64 0.354 0.343
5280 4.15 -0.875 0.77 0.168
5084 4.59 -0.169 0.418 0.783
5185 4.56 0.378 -0.019 -0.064
5372 4.85 -0.836 -0.174 0.467
5363 4.37 -0.291 0.639 0.025
5657 4.32 0.343 0.607 0.396
5568 4.99 0.328 -0.147 0.012
5997 4.25 -0.901 0.043 0.162
5685 4.56 -0.965 0.472 0.259
5135 4.88 -0.975 0.225 0.67
5891 4.34 -0.879 0.016 0.669
5831 4.0 0.444 0.568 -0.135
5661 4.88 0.049 0.131 0.242
5944 4.56 -0.263 0.11 0.221
5551 4.56 -0.835 0.423 0.0
5172 4.74 -0.66 -0.024 -0.019
5282 4.84 -0.662 0.356 -0.072
5636 4.36 -0.127 0.559 -0.153
5819 4.8 -0.313 0.457 0.507
5040 4.06 -0.492 0.027 0.708
5628 4.26 0.054 0.362 0.405
5695 4.32 -0.858 -0.07 0.031
5592 4.77 -0.43 0.3 0.551
5038 4.97 -0.745 0.125 0.263
5066 4.84 -0.847 0.582 -0.152
5826 4.81 0.317 0.527 0.493
5816 4.2 -0.79 0.08 0.423
5899 4.1 -0.312 -0.179 0.63
5267 4.36 0.196 0.447 0.628
5371 4.75 0.016 -0.045 -0.037
5248 4.12 -0.019 0.766 -0.097
5717 4.5 -0.744 0.402 0.787
5713 4.96 -0.889 0.415 0.478
5205 4.42 -0.024 0.533 0.58
5850 4.3 0.134 0.486 0.719
5894 4.6 0.154 0.514 0.461
5540 4.54 0.425 -0.197 0.494
5562 4.9 0.254 0.592 0.444
5057 4.87 0.104 0.555 -0.149
5428 4.83 -0.422 -0.067 0.147
5126 4.14 0.476 0.442 0.354
5519 4.42 0.326 0.465 -0.004
5196 4.37 -0.519 -0.029 0.403
5282 4.2 0.247 0.551 -0.182
5794 4.05 -0.125 0.293 0.775
5511 4.46 -0.865 -0.014 -0.155
5851 4.77 -0.63 0.601 0.235
5578 4.1 0.255 -0.065 0.496
5723 4.04 -0.489 0.756 0.494
5773 4.66 0.077 0.551 -0.18
5357 4.01 -0.329 0.547 0.372
5355 4.61 0.235 0.79 0.048
5078 4.57 -0.806 0.408 0.035
5064 4.65 0.385 0.55 0.461
5686 4.83 -0.781 0.445 0.08
5445 4.57 -0.026 -0.084 -0.198
5388 4.35 -0.746 0.291 0.61
5830 4.74 0.229 0.352 0.613
5448 4.11 0.332 -0.126 -0.174
5392 4.48 0.22 -0.188 0.408
5231 4.57 0.179 -0.1 0.716
5902 4.67 0.445 0.571 0.367
5702 4.05 0.243 -0.024 -0.142
5437 4.08 -0.906 0.278 0.422
5299 4.84 -0.348 0.208 0.076
5966 4.46 -0.322 0.498 0.103
5515 4.44 -0.857 0.787 0.263
5908 4.9 0.247 0.086 0.309
5729 4.14 0.228 0.349 0.296
5344 4.65 -0.967 0.022 0.505
5010 4.32 -0.351 0.643 0.258
5516 4.63 0.256 0.009 0.085
5106 4.22 0.312 0.398 0.615
5795 4.26 0.433 0.26 -0.081
5930 4.55 0.369 0.399 0.768
5171 4.46 -0.575 0.196 0.086
5896 4.86 0.152 0.745 0.627
5274 4.12 -0.034 0.071 0.167
5315 4.85 -0.741 0.794 0.125
5935 4.1 -0.198 0.119 0.692
5996 4.83 -0.304 0.164 0.788
5495 4.42 0.405 -0.152 0.512
5349 4.47 -0.76 0.019 0.465
5255 4.24 0.274 0.612 -0.031
5565 4.18 -0.92 0.521 0.487
5156 4.88 -0.454 0.289 0.204
5500 4.49 0.364 0.485 0.682
5081 4.05 -0.664 0.482 -0.04
5402 4.5 -0.514 0.287 0.199
5060 4.09 0.206 -0.105 0.468
5483 4.11 0.419 -0.02 0.101
5516 4.88 0.351 0.591 -0.082
5318 4.09 0.014 0.144 0.562
5312 4.61 0.159 -0.001 0.679
5044 4.7 -0.564 0.39 0.791
5358 4.86 0.449 0.12 -0.036
5734 4.81 -0.114 0.627 -0.155
5810 4.89 -0.764 0.217 -0.018
5204 4.75 -0.416 0.315 0.347
5065 4.9 -0.122 -0.013 0.244
5248 4.62 -0.885 0.058 0.114
5564 4.37 -0.816 -0.189 0.645
5197 4.03 -0.856 -0.005 0.548
5579 4.82 -0.492 0.004 -0.102
5054 4.68 -0.021 0.381 0.213
5516 4.08 -0.897 0.464 0.283
5579 4.73 -0.194 0.44 -0.142
5985 4.4 -0.404 0.38 -0.134
5682 4.41 -0.918 0.377 0.661
5079 4.65 0.449 0.788 0.189
5898 4.29 0.266 -0.188 0.162
5536 4.11 0.496 0.153 0.578
5650 4.61 -0.244 0.685 0.202
5188 4.5 -0.31 -0.142 0.71
5440 4.0 -0.674 0.6 -0.14
5137 4.3 -0.378 0.155 0.424
5688 4.47 0.035 -0.175 0.116
5723 4.47 0.098 0.061 0.507
5426 4.12 -0.307 0.073 0.037
5947 4.22 -0.093 0.706 0.038
5753 4.77 0.257 0.483 0.443
5417 4.56 -0.562 0.026 0.084
5102 4.35 -0.079 0.178 0.045
5541 4.14 -0.445 0.466 0.453
5913 4.82 -0.764 0.361 0.118
5231 4.36 -0.072 0.536 -0.096
5369 4.5 -0.059 0.629 0.639
5355 4.15 -0.29 0.328 -0.063
5368 4.68 0.107 -0.055 0.337
5327 4.61 -0.508 0.007 0.286
5883 4.96 -0.421 0.24 -0.009
5018 4.43 -0.658 0.095 -0.154
5923 4.5 -0.548 0.741 0.281
5854 4.61 0.246 0.636 0.565
5427 4.24 0.372 0.139 0.571
5963 4.11 -0.707 0.369 0.097
5982 4.92 -0.335 0.584 0.665
5442 4.4 -0.23 -0.125 -0.03
5026 4.53 -0.08 0.702 0.638
5863 4.21 -0.58 0.783 0.071
5447 4.81 -0.627 0.112 0.189
5333 4.78 -0.168 -0.09 0.504
5011 4.25 -0.772 0.303 -0.003
5058 4.2 0.396 0.037 0.677
5879 4.68 -0.962 -0.146 0.74
5865 4.63 -0.084 0.295 0.577
5621 4.59 -0.804 0.545 0.163
5406 4.87 0.131 0.435 0.781
5010 4.07 -0.42 0.212 0.107
5888 4.92 0.272 0.753 0.269
